Date,N225,STOXX50E,NDX,GSPC
2017-07-13,20085.9670781893,3519.946542157261,5794.338366061505,2445.4665350113805
2017-07-14,20109.6975088968,3516.336987778577,5839.6815286624205,2456.0685840707965
2017-07-17,20109.6975088968,3512.810156381369,5842.042267184034,2456.6068212516884
2017-07-18,19984.748201438848,3474.354389901823,5881.022191898879,2458.0994241074536
2017-07-19,19999.915492957745,3488.368469656992,5916.283955857385,2470.567972455831
2017-07-20,20119.66423357664,3490.2407706912322,5923.5515641569455,2471.523621867187
2017-07-21,20069.33554817276,3445.0607279693486,5920.002459246768,2469.6389171905485
2017-07-24,19950.80667593881,3440.698942635917,5944.719788124509,2468.550524273448
2017-07-25,19949.5026642984,3471.5220599232257,5932.592764060357,2474.8299634204936
2017-07-26,20033.908629441623,3482.0887182203387,5949.80135501355,2474.4751135824235
2017-07-27,20060.03811944092,3481.4487394957982,5914.875788402848,2472.128651931805
2017-07-28,19931.277258566974,3455.8665518289595,5908.105338834709,2469.1198977500917
2017-07-31,19920.748155953635,3446.8560575446527,5881.2605215382055,2467.874042726532
2017-08-01,19965.6,3472.8462264150944,5894.172026502909,2472.986614630371
2017-08-02,20070.485933503835,3452.651658767772,5913.442680528238,2474.2377316660018
2017-08-03,20009.4,3463.062053642279,5889.218340611354,2469.439496188883
2017-08-04,19938.584905660377,3504.936195969522,5897.3162803090845,2473.151998785784
2017-08-07,20046.25,3500.758478357876,5933.2019943522755,2477.732760322097
2017-08-08,19971.54411764706,3512.1342086916106,5924.351531480431,2472.155464404295
2017-08-09,19719.47441217151,3465.5946957878314,5917.474427361155,2471.4114807006586
2017-08-10,19708.827160493827,3426.346996273744,5787.959672337744,2436.375866937996
2017-08-11,19708.827160493827,3399.4147582697196,5831.007804370447,2439.222725977633
2017-08-14,19516.903553299493,3454.1033185543465,5909.852666093313,2463.5626186594
2017-08-15,19742.433460076045,3461.8739054290722,5911.143481565944,2463.598027762507
2017-08-16,19720.35751840168,3483.5478517844963,5919.5853424178895,2466.6963222648496
2017-08-17,19681.370449678798,3461.784327125691,5801.562480571962,2429.653835276179
2017-08-18,19440.315315315314,3446.7415115005488,5794.809477854531,2424.3984737714804
2017-08-21,19383.348880597016,3419.741938164894,5790.022442699491,2427.222961191093
2017-08-22,19372.129032258064,3454.5809991336987,5876.591149068323,2451.304249106518
