Date,Open,Low,High,Close
2015-02-09,17790.246078129807,17650.0,17800.0,17699.298245614034
2015-02-10,17633.330519206414,17540.0,17670.0,17642.85087719298
2015-02-12,17942.7339836541,17910.0,18000.0,17970.650054171183
2015-02-13,17891.906521739133,17850.0,17960.0,17896.230366492146
2015-02-16,18010.72191371209,17970.0,18070.0,17999.747899159658
2015-02-17,17933.053824362607,17890.0,18000.0,17978.426966292136
2015-02-18,18090.083088954056,18080.0,18200.0,18187.03703703704
2015-02-19,18232.1047280122,18230.0,18320.0,18259.802631578947
2015-02-20,18340.05542725173,18290.0,18360.0,18321.767241379308
2015-02-23,18500.67447495961,18400.0,18520.0,18456.479400749064
2015-02-24,18467.18487394958,18430.0,18610.0,18590.02068252327
2015-02-25,18629.89571899012,18550.0,18660.0,18580.362903225807
2015-02-26,18589.977272727272,18580.0,18800.0,18782.446406052964
2015-02-27,18848.80202140309,18710.0,18880.0,18789.84399375975
2015-03-02,18885.7481648786,18770.0,18990.0,18823.86764705881
2015-03-03,18909.963099631,18730.0,18910.0,18810.0
2015-03-04,18711.787905346187,18590.0,18740.0,18724.093686354383
2015-03-05,18671.811125485125,18650.0,18770.0,18747.843137254906
2015-03-06,18819.959928762244,18810.0,18990.0,18965.920679886687
2015-03-09,18788.18613138686,18660.0,18810.0,18708.33333333333
2015-03-10,18802.203508174385,18480.0,18840.0,18577.057208237988
2015-03-11,18497.646149816654,18490.0,18761.0,18639.962406015038
2015-03-12,18699.991477272728,18680.0,18930.0,18917.117252931323
2015-03-13,19079.386811419387,19040.0,19250.0,19186.107784431137
2015-03-16,19159.68372867249,19140.0,19270.0,19168.021534320324
2015-03-17,19332.25495750708,19290.0,19400.0,19362.787456446
2015-03-18,19329.347517730497,19310.0,19480.0,19470.44444444444
2015-03-19,19412.16815742397,19220.0,19470.0,19385.143884892088
2015-03-20,19415.1108033241,19320.0,19490.0,19469.598930481283
2015-03-23,19568.869021010283,19550.0,19700.0,19680.0
2015-03-24,19624.67062902427,19550.0,19690.0,19631.07594936709
2015-03-25,19641.231802911534,19450.0,19690.0,19658.83333333333
2015-03-26,19515.52059052059,19300.0,19540.0,19362.783505154643
2015-03-27,19390.50505050505,19100.0,19620.0,19306.28479657388
2015-03-30,19317.51567398119,19240.0,19500.0,19439.530090684253
2015-03-31,19607.501029230138,19280.0,19630.0,19285.539772727272
2015-04-01,19191.0812513122,18940.0,19230.0,19069.946949602123
2015-04-02,19139.307939914164,19120.0,19450.0,19311.079632465546
2015-04-03,19328.42032967033,19320.0,19450.0,19440.280373831767
2015-04-06,19297.41891891892,19250.0,19450.0,19413.31955922865
2015-04-07,19552.214498510428,19510.0,19690.0,19650.791476407914
2015-04-08,19760.039817974968,19710.0,19870.0,19799.017341040464
2015-04-09,19863.195488721805,19840.0,19980.0,19944.426666666666
2015-04-10,20025.90845268183,19850.0,20030.0,19975.84725536993
2015-04-13,19989.98267898384,19840.0,20000.0,19920.0
2015-04-14,19847.50336473755,19840.0,19940.0,19910.388349514564
2015-04-15,19851.540362438216,19840.0,19930.0,19874.557823129253
2015-04-16,19870.482832618025,19760.0,19910.0,19894.264432029795
2015-04-17,19818.931116389547,19650.0,19840.0,19679.8381294964
2015-04-20,19534.44114737883,19500.0,19740.0,19643.478260869564
2015-04-21,19740.435540069688,19690.0,19920.0,19910.175438596485
2015-04-22,20019.506903353056,20000.0,20170.0,20140.0
2015-04-23,20247.318892045456,20140.0,20280.0,20211.517241379308
2015-04-24,20140.499243570343,20020.0,20160.0,20039.5945945946
2015-04-27,20075.413223140495,19920.0,20090.0,19979.55752212389
2015-04-28,20097.460207612457,20040.0,20150.0,20074.545454545456
2015-04-30,19801.12837045721,19510.0,19820.0,19531.747572815533
2015-05-01,19517.1961047683,19410.0,19560.0,19529.62162162162
2015-05-07,19359.55740692528,19260.0,19470.0,19299.249011857708
2015-05-08,19364.600379301002,19300.0,19470.0,19399.53560371517
2015-05-11,19650.27981651376,19590.0,19690.0,19630.60606060606
2015-05-12,19592.82212445003,19470.0,19630.0,19620.352941176472
2015-05-13,19568.6,19500.0,19810.0,19783.20601851852
2015-05-14,19669.802631578947,19550.0,19730.0,19582.0
2015-05-15,19709.552346570395,19600.0,19760.0,19725.376884422112
2015-05-18,19750.34533431301,19740.0,19890.0,19880.509554140128
2015-05-19,19980.182031708748,19940.0,20100.0,20058.07692307692
2015-05-20,20170.177777777782,20160.0,20290.0,20218.37092731829
2015-05-21,20229.88115449915,20170.0,20330.0,20197.682481751825
2015-05-22,20219.301934398653,20130.0,20290.0,20282.322580645163
2015-05-25,20340.46537396122,20320.0,20430.0,20410.67567567568
2015-05-26,20441.38141025641,20380.0,20480.0,20455.364891518737
2015-05-27,20379.767441860466,20370.0,20530.0,20464.879120879123
2015-05-28,20612.34360410831,20470.0,20670.0,20546.05072463768
2015-05-29,20511.80149558124,20510.0,20650.0,20585.39868324799
2015-06-01,20461.353573687546,20410.0,20610.0,20561.146304675716
2015-06-02,20610.63051702396,20470.0,20620.0,20547.11409395973
